作業システム,単位作業,要素作業
チェーンソー伐木造材,伐木,確認
チェーンソー伐木造材,伐木,受け口伐り
チェーンソー伐木造材,伐木,追い口伐り
チェーンソー伐木造材,伐木,くさび打ち
チェーンソー伐木造材,伐木,退避
チェーンソー伐木造材,伐木,かかり木処理
チェーンソー伐木造材,造材,枝払い
チェーンソー伐木造材,造材,造材
チェーンソー伐木造材,造材,小移動
チェーンソー伐木造材,集積,材集積
チェーンソー伐木造材,集積,集積小移動
チェーンソー伐木造材,移動,移動
チェーンソー伐木造材,余裕時間,休憩
チェーンソー伐木造材,余裕時間,待ち
チェーンソー伐木造材,付帯作業,給油
チェーンソー伐木造材,付帯作業,目立て
チェーンソー伐木造材,付帯作業,打ち合わせ
チェーンソー伐木造材,付帯作業,その他
スイング集材,索上げ,索上げ
スイング集材,空搬器走行,空走行
スイング集材,空搬器走行,空移動
スイング集材,空搬器走行,索下げ
スイング集材,荷かけ,荷かけ歩行
スイング集材,荷かけ,索引込み
スイング集材,荷かけ,荷かけ
スイング集材,荷かけ,退避
スイング集材,荷かけ,引寄せ
スイング集材,荷かけ,荷上げ
スイング集材,実搬器走行,実走行
スイング集材,実搬器走行,実移動
スイング集材,実搬器走行,荷下げ
スイング集材,荷外し,荷外し歩行
スイング集材,荷外し,荷外し
スイング集材,索架設,先柱設置
スイング集材,索架設,索架設
スイング集材,索架設,搬器着け
スイング集材,索撤去,先柱撤去
スイング集材,索撤去,索巻取り
スイング集材,索撤去,搬器外し
スイング集材,余裕・付帯,待ち
スイング集材,余裕・付帯,休憩
スイング集材,余裕・付帯,打ち合わせ
スイング集材,余裕・付帯,給油
スイング集材,余裕・付帯,点検・整備
スイング集材,余裕・付帯,その他
ﾀﾜｰ集材,索上げ,索上げ歩行
ﾀﾜｰ集材,索上げ,索上げ
ﾀﾜｰ集材,空搬器走行,空走行
ﾀﾜｰ集材,空搬器走行,空移動
ﾀﾜｰ集材,空搬器走行,索下げ
ﾀﾜｰ集材,荷かけ,荷かけ歩行
ﾀﾜｰ集材,荷かけ,索引込み
ﾀﾜｰ集材,荷かけ,荷かけ
ﾀﾜｰ集材,荷かけ,横取り退避
ﾀﾜｰ集材,荷かけ,横取り
ﾀﾜｰ集材,荷かけ,荷上げ
ﾀﾜｰ集材,実搬器走行,実走行
ﾀﾜｰ集材,実搬器走行,実移動
ﾀﾜｰ集材,実搬器走行,荷下げ
ﾀﾜｰ集材,荷外し,荷外し歩行
ﾀﾜｰ集材,荷外し,荷外し
ﾀﾜｰ集材,余裕・付帯,待ち
ﾀﾜｰ集材,余裕・付帯,休憩
ﾀﾜｰ集材,余裕・付帯,打ち合わせ
ﾀﾜｰ集材,余裕・付帯,給油
ﾀﾜｰ集材,余裕・付帯,点検・整備
ﾀﾜｰ集材,余裕・付帯,その他
ﾀﾜｰ架設撤去,元柱設置,ﾀﾜｰ位置決め
ﾀﾜｰ架設撤去,元柱設置,アウトリガー設置
ﾀﾜｰ架設撤去,元柱設置,ﾀﾜｰ設置
ﾀﾜｰ架設撤去,元柱設置,元ガイライン架設
ﾀﾜｰ架設撤去,先柱設置,機材運搬
ﾀﾜｰ架設撤去,先柱設置,先ブロック取付
ﾀﾜｰ架設撤去,先柱設置,先ガイライン架設
ﾀﾜｰ架設撤去,索引回,索引回し
ﾀﾜｰ架設撤去,索引回,索固定
ﾀﾜｰ架設撤去,索張り上げ,索張り上げ
ﾀﾜｰ架設撤去,索弛緩,索弛緩
ﾀﾜｰ架設撤去,索弛緩,索取外し
ﾀﾜｰ架設撤去,索弛緩,索巻取り
ﾀﾜｰ架設撤去,元柱撤去,ガイライン撤去
ﾀﾜｰ架設撤去,元柱撤去,ﾀﾜｰ収納
ﾀﾜｰ架設撤去,元柱撤去,アウトリガー収納
ﾀﾜｰ架設撤去,先柱撤去,先ガイライン撤去
ﾀﾜｰ架設撤去,先柱撤去,ブロック外し
ﾀﾜｰ架設撤去,先柱撤去,機材撤収
ﾀﾜｰ架設撤去,余裕・付帯,待ち
ﾀﾜｰ架設撤去,余裕・付帯,休憩
ﾀﾜｰ架設撤去,余裕・付帯,打ち合わせ
ﾀﾜｰ架設撤去,余裕・付帯,その他
プロセッサ,空移動,空走行
プロセッサ,空移動,空旋回
プロセッサ,材つかみ,材つかみ
プロセッサ,材つかみ,材引き寄せ
プロセッサ,実移動,実走行
プロセッサ,実移動,実旋回
プロセッサ,造材,鋸断
プロセッサ,造材,材送り
プロセッサ,造材,逆送り
プロセッサ,ハイ積み,ハイ空走行
プロセッサ,ハイ積み,ハイ空旋回
プロセッサ,ハイ積み,ハイ荷つかみ
プロセッサ,ハイ積み,ハイ実走行
プロセッサ,ハイ積み,ハイ実旋回
プロセッサ,ハイ積み,ハイ整理
プロセッサ,ハイ積み,ハイ積み
プロセッサ,末木枝条整理,末木枝条整理
プロセッサ,末木枝条整理,枝条処理
プロセッサ,末木枝条整理,梢端処理
プロセッサ,余裕,待ち
プロセッサ,余裕,休憩
プロセッサ,余裕,打ち合わせ
プロセッサ,付帯,給油
プロセッサ,付帯,点検・整備
プロセッサ,付帯,その他
シンラプトル,空走行,空移動
シンラプトル,空走行,確認
シンラプトル,伐倒,把持
シンラプトル,伐倒,鋸断
シンラプトル,伐倒,伐倒
シンラプトル,実走行,持替え
シンラプトル,実走行,実移動
シンラプトル,実走行,材移動待ち
シンラプトル,余裕,待ち
シンラプトル,余裕,休憩
シンラプトル,余裕,打ち合わせ
シンラプトル,付帯,給油
シンラプトル,付帯,点検・整備
シンラプトル,付帯,その他
